Subj_1,Subj_2,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_27,Subj_28,Subj_30,Subj_31,Subj_33,Subj_34
30.2,0,0,48,232.4,0,15,0,99.75,0,45.2,22.6,2.4,25,30.2,0,0,0,83,0,47.8,0,0,206.2,79.8,42.9,14,0,4.8
12.6,30.8,0,176,31.99700354,0,38.6,0,428,0,0,22.6,7.2,0,41.6,0,0,0,43.6,44.5,7.2,0,2,133.2,5.8,73.2,0,53.8,0
522.4,2.6,0,167.6,0,0,50.6,83.8,529.5,0,7.6,47.6,4.8,0,0,0,0,0,53.2,48.25,21.8,0,0,106.4,120.1,32.5,0,0,10.6
183.8,0,0,170,2.4,0,0,7,0,68,5.2,5.2,7.2,0,0,0,28.9,0,53.4,0,83.6,0,14.3,140.4,114.4,192.3,100.8,0,2
321.2,18,0,90.4,0,0,0,70.8,0,17.8,0,5,19.2,0,22.6,0,0,0,21.8,0,2.4,76.2,0,296,111.2,192.4,0,0,0
30.2,12.8,0,41,0,0,0,55.4,0,0,17.6,30.2,2.4,15,0,76,0,0,36.2,9.5,24.2,0,0,191,340.1,242.8,0,0,6.8
27.8,15.4,0,76.9,0,0,0,0,0,10.2,0,76.2,9.6,2.6,0,0,0,92.2,19.2,0,0,0,12.2,311.6,56.7,142.8,5,2.6,5.8
122.4,0,0,39,0,0,2.6,87,0,5.2,0,299.2,12,0,0,47,115.1,67,62.8,0,7.2,22,0,511,35.7,106.9,32.2,17.6,0
10,30.8,0,27.5,0,0,10.2,30.2,0,2.6,2.6,56.8,4.8,0,0,0,85,15.4,36.2,6.25,4.8,0,31.8,207.4,80.6,139.4,0,2.6,10.6
62.4,0,0,102.3,0,20.4,2.6,0,3.25,5.2,0,143.2,0,20,0,17,53.7,7.6,12,9.5,0,0,5.2,319.4,156.6,112.3,0,0,0
0,2.6,45.8,232.6,42.4,0,0,0,0,0,0,181.2,16.8,0,41.6,0,45.6,12.8,71.4,0,0,0,0,129.2,30,267.8,0,17.6,0
25,5.2,0,173.3,138.2,5.2,7.6,0,0,7.6,0,0,53.2,0,0,86.33333333,0,10.2,99.4,0,0,0,0,159.4,93.9,248,0,0,0
97.4,23,0,91.9,17,7.6,0,4.6,0,0,17.6,30,31.4,0,10,64,5.1,0,83,0,0,6,0,229.2,121.3,366.6,29.2,0,33.8
